序号,对应知识点,知识点,材料
643,85，83,"[85, 83]","氧化亚氮（N2O）在百年尺度内的增温效应是等量二氧化碳的近300倍。农田是氧化亚氮的第一大排放源。完成下面小题。
1．氧化亚氮具有增温效应，主要是因为（   ）
A．大气辐射总量增加B．大气吸收作用增强
C．地面辐射总量增加D．地面反射作用增强
2．农田排放的氧化亚氮，主要来源于（   ）
A．作物生长时的排放B．大气中氮气的转化
C．秸秆燃烧时的产生D．生产中氮肥的施用
答案：1.B  2.D
1.氧化亚氮是最重要的温室气体之一，氧化亚氮能够强烈吸收地面反射的太阳辐射，使大气吸收作用增强，并且重新发射辐射，从而具有增温效应，B正确，A错误。氧化亚氮并不能使地面辐射总量增加；也不能使地面反射作用增强，CD错误。故选B。2．中国是农业大国，由农业产生的氧化亚氮量约占全球总排放量的1.0％-1.5％，这其中约72％来自农田排放。而农田生态系统中大部分的氧化亚氮源于土壤的排放，主要是农业生产中氮肥的大量施用造成，D正确。作物生长时的排放、大气中氮气的转化和秸秆燃烧时的产生均不是农田排放的氧化亚氮的主要来源，ABC错误。故选D。

知识点：
大气受热过程：
原理：太阳辐射到达地面使地面增温，地面辐射大部分被大气吸收使大气增温，大气辐射中射向地面的部分为大气逆辐射，补偿地面热量损失，实现大气对地面的保温作用。
能量来源与直接热源：能量来源为太阳辐射，地面长波辐射是近地面大气主要直接热源。

大气的组成：
干洁空气：氮气是生物体基本元素；氧气维持生命活动、参与燃烧等过程；二氧化碳是光合作用原料、使气温升高；臭氧吸收紫外线、保护生物。
水汽和杂质：水汽分布因海陆、纬度、地势而异，可产生天气现象；杂质使大气能见度变差，但可作为凝结核成云致雨，其时空变化受多种因素影响。"
644,181,[181],"水分利用效率是指植物消耗单位质量的水所固定二氧化碳（或生成干物质）的量，一般表述为单位时间，单位面积内光合作用合成的有机物质总量与实际蒸散发量（蒸发量和植物蒸腾量）的比值。据此完成下面小题。
1．自然状态下，下列选项中水分利用效率最低的是中国（   ）
A．7月的热带季雨林B．12月的热带季雨林C．7月的落叶阔叶林D．12月的落叶阔叶林
2．最可能提高祁连山区高寒草甸年均水分利用效率的是（   ）
A．生长季结束时间提前B．月平均风速均减小
C．生长季降水比例降低D．月平均温度均降低
答案：1.D  2.B
1．阅读材料，结合所学知识可知，水分利用效率一般表述为单位时间，单位面积内光合作用合成的有机物质总量与实际蒸散发量（蒸发量和植物蒸腾量）的比值，要使水分利用效率最低，也就是单位面积内光合作用合成的有机物质总量较小，而蒸散发量较大。中国7月的热带季雨林，高温多雨，降水量大，因此单位面积光合作用合成的有机质总量较大，故A错误；7月的温带落叶阔叶林属于温带季风气候，夏季高温多雨，因此夏季单位面积光合作用合成有机质量较大，因此水分利用效率较大，故C错误；12月的热带季雨林，气温较高，气候干旱，因此单位面积光合作用合成的有机质总量较小，且由于气候干旱，蒸散发量较大，因此比值较小，而12月的温带落叶阔叶林，12月属于冬季，温带落叶阔叶林冬季树叶已经掉落，没有叶面进行光合作用，因此水分利用率最低，故D正确。答案选择D。
2．根据题意，结合所学知识可知，祁连山属于中国地势的一二级阶梯分界线，深居内陆，海拔较高，其高山草甸年均水分利用效率较低，因此要提高水分利用率，可以提高单位面积的水量，使其水分增加，单位面积光合作用的合成有机质总量增加，故C错误；高山草甸的生长季结束时间提前，说明气温降低，而气温降低，将会减缓光合作用的速率，从而导致合成的有机质总量减少，故AD错误；月平均风速减小会减少蒸发量和蒸腾量，从而使水分利用效率提高，故B正确。答案选择B。

知识点：
植被类型及特征：
1.森林植被：热带雨林气候区的雨林，植被丰富、垂直结构复杂，有茎花、板根现象；热带季风气候区的季雨林；亚热带季风和湿润气候区的常绿阔叶林，乔木革质叶片，花期春末夏初，垂直结构较简单；地中海气候区的常绿硬叶林，叶片坚硬有锯齿或呈尖刺状，结构简单；温带季风和温带海洋性气候区的落叶阔叶林，乔木叶片宽阔，春秋季明显；温带大陆性气候区的亚寒带针叶林，以松、杉为主，树叶针状抗寒抗旱。
2.草原和荒漠植被：热带草原气候区的热带草原，湿季葱绿、干季枯黄，有乔木或灌木；温带大陆性气候区的温带草原，夏绿冬枯，植被低，有矮小灌木；热带沙漠气候和温带大陆性气候区的荒漠植被，以旱生灌木为主，耐干旱。"
645,26，100，188,"[26, 100, 188]","2020年新型冠状病毒肆虐全球，中国政府相继向意大利米兰、塞尔维亚贝尔格莱德等地派出医疗专家，提供抗疫经验。6月8日上午，雨过天晴，主要由海南省医务人员组成的中国医疗专家组，携带大批医疗援助物资，飞抵孟加拉国首都达卡沙阿贯拉勒国际机场。据此完成下面小题。
1．某地理老师看到海南医疗专家奔赴孟加拉国的新闻后，即兴创作对联“同风共雨，兄弟携手抗新冠；一河相通，我首你尾心相连”。“同风”“一河”分别指（   ）
A．西南季风、雅鲁藏布江——布拉马普特拉河
B．西南季风、澜沧江——湄公河
C．东南季风、怒江——萨尔温江
D．东南季风、元江——红河
2．与米兰（45.5°N，9.2°E；地中海气候）相比，导致贝尔格莱德（44.7°N，20.5°E；温带大陆性气候）冬季均温更低的主要因素是（   ）
A．纬度B．副高C．洋流D．地形
答案：1.A  2.D
1．医疗专家奔赴孟加拉国的时间为6月8日，正值夏季，海南盛行西南季风，孟加拉国地处南亚，该季节也盛行西南季风，所以“同风”是西南季风，CD错；“一水”应是指连接孟加拉国和中国西藏地区的国际性河流-雅鲁藏布江（该河流在下游地区称为布拉马普特拉河），A正确；澜沧江-湄公河并没有流经孟加拉国，B错。故选A。
2．根据两地经纬度信息可知，两地纬度相当，均不受洋流的影响，AC错；冬季副热带高气压带南移，不受副高的影响，B错；所以最可能受地形因素的影响（米兰北部有阿尔卑斯山地，冬季对冷空气的阻挡作用较强，气温相对较高），D正确，故选D。

知识点：
区域环境差异对区域发展的影响：
不同的自然地理环境和人文地理环境组成特定的自然环境和相应的人文环境，影响区域发展，具体为：
不同的自然地理环境下的地形、气候、水文、土壤、生物组成特定的自然环境，
不同的人文地理环境下的农业、工业、商贸、城市、交通组成相应的人文环境，
人文地理环境与自然地理环境相互作用影响区域发展方向，和谐则可持续发展，冲突则产生环境问题。
季风气候与温带大陆性气候：
1.热带季风气候：大致在10°N-25°N大陆东岸，受气压带、风带季节移动和海陆热力性质差异影响，终年高温，分旱、雨两季，年降水量1500-2000mm。
2.亚热带季风气候：在南北纬25°-35°大陆东岸，由海陆热力性质差异形成，夏季高温多雨，冬季温和少雨，年降水量800-1500mm。
3.温带季风气候：位于35°N-50°N亚欧大陆东岸，因海陆热力性质差异产生，冬季寒冷干燥（0°C以下），夏季高温多雨，年降水量400-800mm。
4.温带大陆性气候：分布在温带大陆内部，深居内陆受海洋影响小，终年受大陆气团控制，冬季严寒，夏季高温，常年干旱少雨。
中国位置、疆域：
1.地理位置
纬度位置：大部分位于中纬度地区，属于温带，小部分位于热带。
海陆位置：位于亚欧大陆东部，东临太平洋。
2.疆域
领土四至点：最北端在漠河以北的黑龙江主航道中心线（53°N附近）；最南端在南海南沙群岛曾母暗沙（4°N附近）；最东端在黑龙江与乌苏里江主航道中心线交汇处（135°E附近）；最西端在新疆帕米尔高原（73°E附近），领土面积960多万平方千米。
濒临海洋：从北到南依次是渤海、黄海、东海、南海。"
646,125,[125],"北印度洋海区洋流，夏季呈顺时针方向流动，影响其形成的盛行风是
A．西南季风B．东北季风C．东南信风D．西风
答案：A
北印度洋为季风洋流，夏季受西南季风影响海水呈顺时针流动，冬季受东北季风影响海水呈逆时针流动。A正确，BCD错误。故选A。

知识点：
海水运动和洋流：
海水运动的形式：海浪、潮汐和洋流。
洋流的成因：盛行风是主要动力，还受陆地轮廓、地转偏向力等影响，与气压带和风带分布密切相关。"
647,214,[214],"下梅村位于武夷山东、梅溪下游，四周群山环抱。村落始建于隋朝，清朝时成为闽北地区茶叶的集散地与通往欧洞的“万里茶道”的起点。当溪横穿村落汇入梅溪，历史上经过数次改造。宋朝的改造内容是 “疏河床、垒岸坡”，明朝的改造内容是 “加深拓宽河床修建提水、蓄水工程”.宋朝、明朝当溪改造的目的分别为（   ）
A．供水；防洪和水运B．供水；水运和养殖C．防洪；防洪和灌溉D．防洪；养殖和供水
答案：C
根据材料信息“下梅村位于武夷山东、梅溪下游，四周群山环抱”可知，该地位于亚热带季风区，降水量大，周围地势起伏较大，易于汇水，洪涝灾害多发。根据材料信息可知，宋朝对当溪的改造内容主要是疏河床、垒岸坡，可以提高河流的行洪能力，主要目的是防洪；明朝对当溪的改造内容主要是加深拓宽河床，修建提水、蓄水工程，加深拓宽河床可以提高河流行洪能力，利于防洪；修建提水、蓄水工程能够为农业提供灌溉水源，利于灌溉，C正确，AB错误；明朝的养殖技术较为落后，养殖业不发达，D错误。故选C。

知识点：
水利工程修建的影响：
有利影响
①经济效益：产生防洪、发电、航运、灌溉和旅游等综合经济效益；
②生态效益：调节库区气候，缓解生态环境压力；拦截泥沙，降低河流含沙量；改善水质
不利影响
①上游地区：回水淹没耕地；抬高上游水位，加剧洪涝
②库区：蓄水会淹没原有生产、生活设施以及文物古迹等；淹没聚落，需移民；泥沙在库区沉积；诱发地震、滑坡等地质灾害；水体富营养化，水质下降；库区水域内害虫滋生，可能导致传染性疾病蔓延
③下游及河口三角洲地区：河流挟带至下游的泥沙大大减少，土壤自然肥力下降；入海径流量减少，海浪对海岸的侵蚀加重，河口三角洲不断缩小；由于海水倒灌、生态破坏和入海营养物质减少，河口的渔业资源减少；径流量减小，对污染物的稀释作用减弱，水污染加剧；河道水位降低，原有水利设施作用减弱；阻断鱼类洄游通道；总径流量变小，湿地面积萎缩"
648,174，133,"[174, 133]","蒙古族将靠近山林的优质草原称为杭盖草原。杭盖草原地形和缓，多由缓丘和河谷组成。缓丘上牧草葱郁，河谷中的牧草更加繁茂。通常鼠类打洞、啃食等对草原多有破坏，而杭盖草原的河谷中鼠害却很轻。杭盖草原是古时游牧民族最喜爱的牧场。据此完成下面小题。1．杭盖草原附近山地对古时游牧民族越冬的重要性在于（ ）A．提供水源B．挡风保暖C．食物丰富D．围猎场所大2．相对于周边坡度较大的草原，杭盖草原的缓丘牧草生长更好，是因为缓丘上（ ）A．降水较多B．蒸发较弱C．温度较高D．径流较少3．杭盖草原的河谷鼠害很轻，是因为河谷（ ）A．缺乏鼠类食物B．冷空气易集聚C．地下水位高D．鼠类天敌多
答案：1.B  2.D  3.C
1．据材料可知，杭盖草原为蒙古族的牧场，纬度较高，距离冬季风源地近，冬季受西北季风的影响强烈，气候寒冷。选择有山地的地区南坡即阳坡越冬，相比北坡而言，一方面日照时间较长，光热条件较好，另一方面，位于西北季风的背风坡，受冬季风影响较小，较温暖，B正确。山地的水源、食物相比浅丘和河谷没有优势，AC错误。游牧民族以放牧为生，猎人以狩猎为生，故围猎场所与游牧民族选择山地越冬关系不大，D错误。故选B。
2．杭盖草原位于中国西北地区，温带大陆性气候，降水较少，A错误。温度与坡向和海拔有关，与坡度无关；蒸发与温度和坡向有关，小尺度范围内影响很小，BC错误。缓丘草原相对于周边坡度较大的草原，径流速度较慢，有利于下渗，地表径流更少，土壤水分条件较好，牧草生长更好，D正确。故选D。
3．据材料可知，鼠类通过打洞、啃食等，对草原多有破坏，打洞为其提供栖息和生活的场所，在河谷地区，地下水位较高，打洞常常被地下水淹没，导致无法栖息，所以鼠类往往远离河谷地区生活繁衍，故导致杭盖草原的河谷鼠害很轻，C正确。河谷中的牧草更加繁茂，鼠类食物丰富，A错误。河谷位于缓坡之间，冷空气集聚作用不明显，B错误。河谷与缓坡空间距离并不远，天敌数量差异不大，D错误。故选C。

知识点：
典型特殊流水地貌举例：
1.牛轭湖：河流受地转偏向力作用左右摆动，凹岸侵蚀、凸岸堆积，河道越来越弯曲，洪水期时两个凹岸连接形成新河道，原河道被废弃形成牛轭湖。
2.曲峡：地质时期地势平缓时河流侧蚀作用形成曲流，地壳抬升后河流下切作用增强，保留曲流形态演变成曲峡。
3.河流阶地
概念：河流下切侵蚀，使原先河谷底部超出一般洪水位以上，呈阶梯状分布在河谷谷坡上。
形成条件：有较宽阔谷底，河流下切侵蚀（由构造运动、气候变化和侵蚀基准面下降等原因造成）。地壳相对稳定时河流以侧蚀和堆积为主形成河漫滩，地壳上升时河流下切，原河漫滩成河谷两侧阶地，地壳多次间歇性上升形成多级阶地。
陆地地形和海底地形：
陆地地形：
1.山地，一般在500米以上，峰峦起伏，坡度陡峻
2.平原，一般在200米以下，平坦广阔或略有起伏
3.丘陵，较低，500米以下，起伏较小，坡度和缓
4.高原，较高，500米以上，地面坦荡，边缘陡峻
5.盆地，无固定标准，四周高，中间低
海底地形：
1.大陆架：靠近大陆的浅海地区，大陆向海洋的自然延伸，深度一般不超过200m。
2.大陆坡：介于大陆架和大洋底之间，大陆架是大陆的一部分，大洋底是真正的海底，因而大陆坡坡脚是大陆型地壳与大洋型地壳的真正分界线。
3.海沟：深度超过5000米的狭长的海底凹地。
4.海盆：海洋的底部有许多低平的地带，周围是相对高一些的海底山脉，这种类似陆地上盆地的构造叫做海盆或者洋盆。它是大洋底的主体部分。
5.大洋中脊：又称为中央海岭，是指贯穿世界四大洋、成因相同，特征相似的海底山脉系列。是新洋壳诞生处，因此海洋中离大洋中脊越近，岩石的年龄越新。"
649,229，133,"[229, 133]","五水共治（治污水、防洪水、排涝水、保供水、抓节水）是浙江省解决当前面临的可持续发展问题、推动经济转型升级的重要举措。经过近几年努力，五水共治成效显著。完成下面小题。
1．下列有关浙江省水资源、水环境的叙述，正确的是（   ）
A．沿海地区治污水压力较小B．平原地区排涝压力较大
C．丘陵山地的防洪压力较小D．沿海岛屿供水压力较小
2．有助于治理污水的措施主要有（   ）
①发展“种一养一加”农业循环经济 ②促进分散的工业企业集聚发展 ③鼓励工商业资金投向农业产业 ④提高工业在三次产业中的比重
A．①②B．②③C．③④D．①④
答案：1.B  2.A
1.沿海地区经济发达，生产生活排放污水较多，治污水压力较大，A错；平原地区地势低平，排水不畅，排涝压力较大，B对；浙江省降水集中，夏季多暴雨，丘陵山地地势陡峻，汇水速度快，故防洪压力较大，C错；沿海岛屿面积小，不易储水，供水压力较大，D错。故选B。
2．发展农业循环经济可以使废弃物再利用，减少废弃物排放量，从而减少水资源的污染源，①对；工业集聚可以充分利用工厂之间的废弃物，还可以共同利用治污设施，实现清洁生产，②对；农业经济效益较低，并且农业生产过程中施用农药、化肥等也会污染水资源，③错；工业排放污水量大，提高工业在三次产业中的比重会加重水污染，④错。选A。

知识点：
主要城镇化问题及解决措施：
城市热岛效应
产生原因：水泥建筑物多、硬化面积广，城区增温快；工业、交通工具、居民生活排放废热；绿地、湿地面积减少，调节气温能力下降。
解决措施：加强城市绿化，营造、保护城区湿地环境，建设城市通风廊道，合理规划功能区。
城市内涝
产生原因：自然因素如降水强度大、历时长；人为因素如硬化面积大，不利于地表水下渗，河网系统破坏，排水系统不完善。
解决措施：完善城市排水系统，建设 “海绵城市”，增加地表径流下渗量，恢复城市湿地。
其他问题及解决措施
环境质量下降
产生原因：城镇人口过度密集，生产、生活过程中排放大量废弃物。
解决措施：建卫星城，开发新区，分散城市职能；提高资源利用率，减少废弃物排放；废弃物达标排放；提高公众环保意识。
交通拥挤
产生原因：城镇人口过度密集，交通流量大；城镇道路规划不合理；私家车增多；职住分离现象严重（功能区布局不合理）。
解决措施：合理规划城镇道路网；大力发展公共交通；限制私家车出行；合理布局城市功能区。
住房紧张、就业困难
产生原因：人口过度密集。
解决措施：加强政府保障性住房供应；建卫星城，开发新区，分散人口；促进经济发展，提供更多就业机会。
陆地地形和海底地形：
陆地地形：
1.山地，一般在500米以上，峰峦起伏，坡度陡峻
2.平原，一般在200米以下，平坦广阔或略有起伏
3.丘陵，较低，500米以下，起伏较小，坡度和缓
4.高原，较高，500米以上，地面坦荡，边缘陡峻
5.盆地，无固定标准，四周高，中间低
海底地形：
1.大陆架：靠近大陆的浅海地区，大陆向海洋的自然延伸，深度一般不超过200m。
2.大陆坡：介于大陆架和大洋底之间，大陆架是大陆的一部分，大洋底是真正的海底，因而大陆坡坡脚是大陆型地壳与大洋型地壳的真正分界线。
3.海沟：深度超过5000米的狭长的海底凹地。
4.海盆：海洋的底部有许多低平的地带，周围是相对高一些的海底山脉，这种类似陆地上盆地的构造叫做海盆或者洋盆。它是大洋底的主体部分。
5.大洋中脊：又称为中央海岭，是指贯穿世界四大洋、成因相同，特征相似的海底山脉系列。是新洋壳诞生处，因此海洋中离大洋中脊越近，岩石的年龄越新。"
650,29,[29],"降水在生态系统中被分为蓝水和绿水，蓝水是形成径流的部分（包括地表径流和地下径流）；绿水是被蒸发（腾）的部分，其中被植物蒸腾的部分称为生产性绿水，被蒸发的部分被称为非生产性绿水。回答下列问题：
1．下列河流中，绿水比例最大的是（   ）
A．塔里木河流域B．长江流域
C．雅鲁藏布江流域D．黑龙江流域
2．在干旱和半干旱地区，下列措施中，使绿水中生产性绿水比重提高最多的是（    ）
A．水田改旱田B．植树造林
C．覆膜种植农作物D．修建梯田
答案：1.A  2.C
1．因塔里木河流域降水少，形成的径流少，但天气晴朗，蒸发（蒸腾）量大，绿水所占比重最大；而长江流域、雅鲁藏布江流域和黑龙江流域的降水较多，径流量大，所以绿水所占比例小。故选A。
2．水田改旱田，减少了非生产性绿水，但没有增加生产性绿水；植树造林增加了生产性绿水，但没有减少非生产性绿水；修建梯田，增加了生产性绿水，但也增加非生产性绿水；而覆膜种植农作物，既减少了非生产性绿水，进而农作物生长茂盛，又增加了生产性绿水。故选C。
考点：区域生态环境建设

知识点：
因地制宜促进区域发展：
原则：根据各地区域特征，采取适宜发展策略。
措施：综合考虑自然条件（位置、气候、地形、矿产资源等）和社会经济因素（劳动力、市场、交通运输、政策和科技等），发挥区域优势。
意义：顺应自然规律，实现人地协调；充分利用资源，提高综合效益；促进区域协调发展，减少区域差异；增强区域可持续发展能力。"
651,167，168，169,"[167, 168, 169]","新西兰南岛上的南阿尔卑斯山脉（约42°S-45°S）位于板块边界附近，呈东北—西南走向，其形态受板块运动和以流水为主的外力作用共同影响。某科研团队对该山脉东西向剖面形态进行研究，观测到目前该山脉仍在升高并向西扩展；模拟研究表明未来该山脉升高速度逐渐放缓，高度将趋于稳定。据此完成下面小题。
1．推测目前该山脉仍在升高并向西扩展是由于（   ）
A．板块挤压B．火山不断喷发C．板块张裂D．岩浆持续侵入
2．假设不受内力作用，在外力作用下，该山脉（   ）
A．西坡侵蚀强烈，山脊线东移B．西坡侵蚀强烈，山脊线稳定
C．东坡侵蚀强烈，山脊线西移D．东坡侵蚀强烈，山脊线稳定
3．未来该山脉高度将趋于稳定，是由于随山体升高（   ）
A．板块运动逐渐加强B．板块运动逐渐减弱
C．外力作用逐渐加强D．外力作用逐渐减弱
答案：1.A  2.A   3.C
1．由材料并结合所学知识可知，该山脉位于太平洋板块和印度洋板块的消亡边界，受板块挤压影响，山脉高度会持续升高，A正确，C错误；从材料信息中为获取该山脉有火山持续喷发的相关信息，B错误；岩浆侵入不会对地表形态产生直接影响，D错误。所以选A。
2．根据该山脉的纬度范围可知，该地常年受盛行西风控制，西风挟带的来自海洋的水汽在西坡地形抬升影响下易形成降水，山脉西坡的侵蚀作用比东坡更强烈，如果不考虑内力作用，西坡遭受强烈侵蚀后，山脊线会向东移动，A正确，B错误；东坡为盛行西风背风坡，降水较少，侵蚀作用较弱，CD错误。所以选A。
3．地貌的演化是内外力共同作用的结果，内力使该地山脉持续隆升，地表起伏增大，地表受流水侵蚀作用增强。根据材料可知，目前山脉高度持续增加，说明内力作用强度大于外力作用，而未来该山脉高度将趋于稳定，是因为随着山体升高，高差增大，对盛行西风的阻挡加强，降水增多，流水作用逐渐加强，内外力作用趋于平衡，使山脉高度将趋于稳定，故C正确，ABD错误。所以选C。

知识点：
板块运动与地貌：
1.板块张裂区
边界类型：生长边界。
运动方向：板块相互分离。
形成地貌：裂谷、海洋、海岭。
举例：东非大裂谷、红海、大西洋。
2.板块碰撞区
大陆板块与大陆板块碰撞
边界类型：消亡边界。
运动方向：板块相互挤压。
形成地貌：高大山脉。
举例：喜马拉雅山脉、阿尔卑斯山脉。
大陆板块与大洋板块碰撞
边界类型：消亡边界。
运动方向：板块相互挤压。
形成地貌：海岸山脉、海沟、岛弧。
举例：落基山脉、太平洋西部岛弧、马里亚纳海沟。
外力作用：
能量来源：主要是太阳辐射能。
主要表现形式及影响：
风化作用：使岩石发生崩解和破碎、化学分解和生物分解等，为其他外力作用创造条件。
侵蚀作用：流水、冰川、风等对地表岩石及其风化产物进行破坏，使被侵蚀物质离开原地，形成侵蚀地貌，总体使地表起伏状况趋于平缓。
搬运作用：风、流水、冰川等移动风化或侵蚀的产物，为堆积地貌发育输送物质。
堆积作用：外力减弱或遇到障碍物时，被搬运物质堆积下来形成堆积地貌。不同区域主导外力作用不同，干旱、半干旱区以风力作用为主，半湿润区以流水作用为主，高山地区以冰川作用为主，沿海地区以海浪作用为主。

外力地貌：
1.河流侵蚀地貌：初期溯源侵蚀和下蚀为主，侧蚀为辅，河谷呈“V”形谷；发育期侧蚀为主，下蚀减弱，河谷拓宽出现连续河湾；成熟期侧蚀和泥沙堆积为主，下蚀进一步减弱，河谷横剖面呈宽而浅的槽形。
2.河流堆积地貌：洪积冲积平原（山前）、河漫滩平原（河流中下游）、三角洲平原（河口地区）
3.风力、海浪、冰川地貌：风成地貌、海岸地貌、冰川地貌
4.喀斯特地貌"
652,162，181,"[162, 181]","青藏高原常见的草毡层，由交织缠结的植物活、死根系与细颗粒物混杂而成。草毡层的厚度约20~30厘米，随地表起伏无明显变化。草毡层中的细颗粒物与下伏物质（粗碎屑或基岩）的矿物、化学成分显著不同。草毡层对青藏高原生态安全具有重要意义．据此完成下面小题。1.青藏高原草毡层中的细颗粒物主要来自（   ）
A．基岩风化B．流水搬运C．冰川搬运D．风力搬运
2．草毡层中植物死根分解缓慢的主要原因是（   ）
A．气温低B．大气含氧量低C．蒸发弱D．太阳辐射强烈
3．青藏高原多年冻土区的草毡层可（   ）
①增加大气与地下的热量交换②减少大气与地下的热量交换
③增加地表对地下的水分补给④减少地表对地下的水分补给
A．①③B．①④C．②③D．②④
答案：1.D  2.A  3.C
1．由材料可知，草毡层中的细颗粒物与下伏物质（粗碎屑或基岩）的矿物、化学成分显著不同，说明其来源不是基岩风化，A错误；冰川搬运不具备分选性，冰川沉积物的粒径大小为杂乱无章，C错误；流水搬运来的沉积物主要分布于海拔较低的河谷地区，而草毡层随地表起伏无明显变化，B错误；风力搬运范围广，不受地表起伏影响，所以草毡层中的细土物质多来自风尘输入，其来源可能是附近的冰川与河流沉积物，也可能是千里之外的干旱区，D正确。故答案选D。
2．青藏高原地区海拔高，气温低，微生物的分解受到抑制，草毡层中植物死根分解缓慢，A正确；土壤中的根系主要是进行厌氧分解，空气中的含氧量对土壤中根系的分解影响较小，B错误；蒸发弱、太阳辐射对土壤中植物死根分解影响较小，CD错误。故答案选A。
3．青藏高原多年冻土区的草毡层可以起到隔热作用，减少大气与地下的热量交换，缓解下部冻土融化，②正确，①错误；草毡层具有水分保蓄及调节地表径流作用，增加下渗量，增加地下水补给，③正确，④错误。②③正确，故答案选C。

知识点：
岩石圈物质循环过程：
岩浆冷却凝固形成岩浆岩：岩浆经冷却凝固作用生成岩浆岩。
外力作用形成沉积岩：岩浆岩、变质岩和已生成的沉积岩受外力作用（风化、侵蚀、搬运、堆积）形成沉积岩。
变质作用形成变质岩：岩浆岩、沉积岩和已生成的变质岩在高温、高压的变质作用下形成变质岩。
重熔再生形成岩浆：各类岩石在一定条件下发生重熔再生作用形成岩浆。判断时需牢记相关窍门，如自岩浆始到岩浆终，生成岩浆岩的只能是岩浆；一个箭头指向的方框为岩浆岩，两个箭头指向的一般为沉积岩或变质岩，三个箭头指向的必为岩浆。
植被类型及特征：
1.森林植被：热带雨林气候区的雨林，植被丰富、垂直结构复杂，有茎花、板根现象；热带季风气候区的季雨林；亚热带季风和湿润气候区的常绿阔叶林，乔木革质叶片，花期春末夏初，垂直结构较简单；地中海气候区的常绿硬叶林，叶片坚硬有锯齿或呈尖刺状，结构简单；温带季风和温带海洋性气候区的落叶阔叶林，乔木叶片宽阔，春秋季明显；温带大陆性气候区的亚寒带针叶林，以松、杉为主，树叶针状抗寒抗旱。
2.草原和荒漠植被：热带草原气候区的热带草原，湿季葱绿、干季枯黄，有乔木或灌木；温带大陆性气候区的温带草原，夏绿冬枯，植被低，有矮小灌木；热带沙漠气候和温带大陆性气候区的荒漠植被，以旱生灌木为主，耐干旱。"
653,36,[36],"黄土高原上植被呈斑块状、有序地重复出现的主要影响因素是（   ）
A．气温B．土壤
C．地形D．光照
答案：C
根据所学知识，黄土高原水土流失严重，植被覆盖率较低，受到地形影响，植被多集中分布在水土保持相对较好的低洼处，C正确。该处植被呈斑块状有序重复出现，与气温、土壤、光照等因素关系不大，ABD错误。故选C。

知识点：
黄土高原地区生态脆弱的原因：
气候较为干旱且降水集中，多年平均降水量450mm，降水集中在夏秋季节，且多暴雨，雨季加剧了对地表的侵蚀，春季降水少不利于地表植被恢复。
黄土土质疏松，垂直节理发育，黄土以细粉砂为主，有较多的孔隙，土质疏松，具有明显的垂直节理，遇水易崩解，抗冲、抗蚀性弱，容易导致水土流失。
地形起伏过大，地形破碎，千沟万壑，加剧流水侵蚀。
环境破坏后难以恢复，人类大面积破坏植被，水土流失不断加剧，地表支离破碎，严重降低土壤的肥力，植被难以恢复，进一步加剧了水土流失。"
